treatment;replicate;day;dead;immobile;total;alive;mortality_rate
starving;1;0;0;0;15;15;0
starving;2;0;0;0;7;7;0
starving;3;0;0;0;15;15;0
heterosigma;1;0;0;0;13;13;0
heterosigma;2;0;0;0;5;5;0
heterosigma;3;0;0;0;9;9;0
starving;1;1;0;0;7;7;0
starving;2;1;1;0;10;9;0,1
starving;3;1;0;0;9;9;0
heterosigma;1;1;0;6;7;7;0
heterosigma;2;1;0;8;8;8;0
heterosigma;3;1;1;8;10;9;0,1
starving;1;2;2;0;11;9;0,181818182
starving;2;2;0;0;15;15;0
starving;3;2;2;0;10;8;0,2
heterosigma;1;2;6;2;8;2;0,75
heterosigma;2;2;6;2;8;2;0,75
heterosigma;3;2;4;0;4;0;1
starving;1;3;2;0;8;6;0,25
starving;2;3;5;0;12;7;0,416666667
starving;3;3;6;0;12;6;0,5
heterosigma;1;3;7;0;7;0;1
heterosigma;2;3;9;0;9;0;1
heterosigma;3;3;10;1;12;2;0,833333333
starving;1;4;4;0;9;5;0,444444444
starving;2;4;6;0;9;3;0,666666667
starving;3;4;7;0;13;6;0,538461538
heterosigma;1;4;6;0;6;0;1
heterosigma;2;4;5;1;6;1;0,833333333
heterosigma;3;4;8;1;9;1;0,888888889
starving;1;5;7;0;7;0;1
starving;2;5;11;0;16;5;0,6875
starving;3;5;2;0;4;2;0,5
heterosigma;1;5;6;0;6;0;1
heterosigma;2;5;4;0;4;0;1
heterosigma;3;5;3;1;4;1;0,75