id;replicate;temperature;salinity;treatment;grazing;species;date;day;cells_per_ml;biovol_per_ml;counts;grid_count ;magnification;grid_area;biovolume 
1;1;16;15;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
2;2;16;15;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
3;3;16;15;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
4;1;16;15;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
5;2;16;15;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
6;3;16;15;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
7;1;16;15;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
7;1;16;15;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
8;2;16;15;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
8;2;16;15;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
9;3;16;15;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
9;3;16;15;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
10;1;16;15;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
11;2;16;15;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
12;3;16;15;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
13;1;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
14;2;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
15;3;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
16;1;16;15;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
16;1;16;15;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
17;2;16;15;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
17;2;16;15;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
18;3;16;15;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
18;3;16;15;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
19;1;16;30;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
20;2;16;30;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
21;3;16;30;heterosigma;no;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
22;1;16;30;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
23;2;16;30;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
24;3;16;30;heterocapsa;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
25;1;16;30;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
25;1;16;30;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
26;2;16;30;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
26;2;16;30;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
27;3;16;30;both;no;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
27;3;16;30;both;no;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
28;1;16;30;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
29;2;16;30;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
30;3;16;30;heterosigma ;yes;heterosigma;23.03.21;0;15000;7302600,0;;6;200;0,25;486,84
31;1;16;30;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
32;2;16;30;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
33;3;16;30;heterocapsa  ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
34;1;16;30;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
34;1;16;30;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
35;2;16;30;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
35;2;16;30;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
36;3;16;30;both ;yes;heterosigma;23.03.21;0;15000;7302600;;6;200;0,25;486,84
36;3;16;30;both ;yes;heterocapsa;23.03.21;0;63900;7294185;;6;200;0,25;114,15
1;1;16;15;heterosigma;no;heterosigma;26.03.21;3;37346;18181526,6;263;6;200;0,25;486,84
2;2;16;15;heterosigma;no;heterosigma;26.03.21;3;38056;18527183,0;268;6;200;0,25;486,84
3;3;16;15;heterosigma;no;heterosigma;26.03.21;3;43736;21292434,2;308;6;200;0,25;486,84
4;1;16;15;heterocapsa;no;heterocapsa;26.03.21;3;210728;24054601,2;371;6;400;0,0625;114,15
5;2;16;15;heterocapsa;no;heterocapsa;26.03.21;3;255032;29111902,8;449;6;400;0,0625;114,15
6;3;16;15;heterocapsa;no;heterocapsa;26.03.21;3;279456;31899902,4;492;6;400;0,0625;114,15
7;1;16;15;both;no;heterosigma;26.03.21;3;34364;16729769,76;242;6;200;0,25;486,84
7;1;16;15;both;no;heterocapsa;26.03.21;3;128936;14718044,4;908;6;200;0,25;114,15
8;2;16;15;both;no;heterosigma;26.03.21;3;31524;15347144,16;222;6;200;0,25;486,84
8;2;16;15;both;no;heterocapsa;26.03.21;3;130782;14928765,3;921;6;200;0,25;114,15
9;3;16;15;both;no;heterosigma;26.03.21;3;30104;14655831,36;212;6;200;0,25;486,84
9;3;16;15;both;no;heterocapsa;26.03.21;3;96702;11038533,3;681;6;200;0,25;114,15
10;1;16;15;heterosigma ;yes;heterosigma;26.03.21;3;30672;14932356,5;216;6;200;0,25;486,84
11;2;16;15;heterosigma ;yes;heterosigma;26.03.21;3;32376;15761931,8;228;6;200;0,25;486,84
12;3;16;15;heterosigma ;yes;heterosigma;26.03.21;3;29820;14517568,8;210;6;200;0,25;486,84
13;1;16;15;heterocapsa  ;yes;heterocapsa;26.03.21;3;225496;25740368,4;397;6;400;0,0625;114,15
14;2;16;15;heterocapsa  ;yes;heterocapsa;26.03.21;3;264120;30149298;465;6;400;0,0625;114,15
15;3;16;15;heterocapsa  ;yes;heterocapsa;26.03.21;3;267528;30538321,2;471;6;400;0,0625;114,15
16;1;16;15;both ;yes;heterosigma;26.03.21;3;38056;18527183,04;268;6;200;0,25;486,84
16;1;16;15;both ;yes;heterocapsa;26.03.21;3;128084;14620788,6;902;6;200;0,25;114,15
17;2;16;15;both ;yes;heterosigma;26.03.21;3;28116;13687993,44;198;6;200;0,25;486,84
17;2;16;15;both ;yes;heterocapsa;26.03.21;3;125670;14345230,5;885;6;200;0,25;114,15
18;3;16;15;both ;yes;heterosigma;26.03.21;3;26696;12996680,64;188;6;200;0,25;486,84
18;3;16;15;both ;yes;heterocapsa;26.03.21;3;115020;13129533;810;6;200;0,25;114,15
19;1;16;30;heterosigma;no;heterosigma;26.03.21;3;40328;19633283,5;284;6;200;0,25;486,84
20;2;16;30;heterosigma;no;heterosigma;26.03.21;3;42316;20601121,4;298;6;200;0,25;486,84
21;3;16;30;heterosigma;no;heterosigma;26.03.21;3;38624;18803708,2;272;6;200;0,25;486,84
22;1;16;30;heterocapsa;no;heterocapsa;26.03.21;3;391352;44672830,8;689;6;400;0,0625;114,15
23;2;16;30;heterocapsa;no;heterocapsa;26.03.21;3;306720;35012088;540;6;400;0,0625;114,15
24;3;16;30;heterocapsa;no;heterocapsa;26.03.21;3;290248;33131809,2;511;6;400;0,0625;114,15
25;1;16;30;both;no;heterosigma;26.03.21;3;23430;11406661,2;165;6;200;0,25;486,84
25;1;16;30;both;no;heterocapsa;26.03.21;3;159892;18251671,8;1126;6;200;0,25;114,15
26;2;16;30;both;no;heterosigma;26.03.21;3;26838;13065811,92;189;6;200;0,25;486,84
26;2;16;30;both;no;heterocapsa;26.03.21;3;149952;17117020,8;1056;6;200;0,25;114,15
27;3;16;30;both;no;heterosigma;26.03.21;3;29678;14448437,52;209;6;200;0,25;486,84
27;3;16;30;both;no;heterocapsa;26.03.21;3;210728;24054601,2;1484;6;200;0,25;114,15
28;1;16;30;heterosigma ;yes;heterosigma;26.03.21;3;41180;20048071,2;290;6;200;0,25;486,84
29;2;16;30;heterosigma ;yes;heterosigma;26.03.21;3;25134;12236236,6;177;6;200;0,25;486,84
30;3;16;30;heterosigma ;yes;heterosigma;26.03.21;3;34364;16729769,8;242;6;200;0,25;486,84
31;1;16;30;heterocapsa  ;yes;heterocapsa;26.03.21;3;343072;39161668,8;604;6;400;0,0625;114,15
32;2;16;30;heterocapsa  ;yes;heterocapsa;26.03.21;3;368632;42079342,8;649;6;400;0,0625;114,15
33;3;16;30;heterocapsa  ;yes;heterocapsa;26.03.21;3;340800;38902320;600;6;400;0,0625;114,15
34;1;16;30;both ;yes;heterosigma;26.03.21;3;38482;18734576,88;271;6;200;0,25;486,84
34;1;16;30;both ;yes;heterocapsa;26.03.21;3;182328;20812741,2;1284;6;200;0,25;114,15
35;2;16;30;both ;yes;heterosigma;26.03.21;3;37488;18250657,92;264;6;200;0,25;486,84
35;2;16;30;both ;yes;heterocapsa;26.03.21;3;181192;20683066,8;1276;6;200;0,25;114,15
36;3;16;30;both ;yes;heterosigma;26.03.21;3;43452;21154171,68;306;6;200;0,25;486,84
36;3;16;30;both ;yes;heterocapsa;26.03.21;3;228194;26048345,1;1607;6;200;0,25;114,15
1;1;16;15;heterosigma;no;heterosigma;23.03.21;6;95140;46317957,6;670;6;200;0,25;486,84
2;2;16;15;heterosigma;no;heterosigma;23.03.21;6;91590;44589675,6;645;6;200;0,25;486,84
3;3;16;15;heterosigma;no;heterosigma;23.03.21;6;108772;52954560,5;766;6;200;0,25;486,84
4;1;16;15;heterocapsa;no;heterocapsa;23.03.21;6;262416;29954786,4;462;6;400;0,0625;114,15
5;2;16;15;heterocapsa;no;heterocapsa;23.03.21;6;320920;36633018;565;6;400;0,0625;114,15
6;3;16;15;heterocapsa;no;heterocapsa;23.03.21;6;359544;41041947,6;633;6;400;0,0625;114,15
7;1;16;15;both;no;heterosigma;23.03.21;6;52540;25578573,6;370;6;200;0,25;486,84
7;1;16;15;both;no;heterocapsa;23.03.21;6;186872;21331438,8;1316;6;200;0,25;114,15
8;2;16;15;both;no;heterosigma;23.03.21;6;58220;28343824,8;410;6;200;0,25;486,84
8;2;16;15;both;no;heterocapsa;23.03.21;6;186446;21282810,9;1313;6;200;0,25;114,15
9;3;16;15;both;no;heterosigma;23.03.21;6;60492;29449925,28;426;6;200;0,25;486,84
9;3;16;15;both;no;heterocapsa;23.03.21;6;160318;18300299,7;1129;6;200;0,25;114,15
10;1;16;15;heterosigma ;yes;heterosigma;23.03.21;6;86336;42031818,2;608;6;200;0,25;486,84
11;2;16;15;heterosigma ;yes;heterosigma;23.03.21;6;85768;41755293,1;604;6;200;0,25;486,84
12;3;16;15;heterosigma ;yes;heterosigma;23.03.21;6;97554;47493189,4;687;6;200;0,25;486,84
13;1;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;6;289112;33002134,8;509;6;400;0,0625;114,15
14;2;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;6;291384;33261483,6;513;6;400;0,0625;114,15
15;3;16;15;heterocapsa  ;yes;heterocapsa;23.03.21;6;177216;20229206,4;312;6;400;0,0625;114,15
16;1;16;15;both ;yes;heterosigma;23.03.21;6;45724;22260272,16;322;6;200;0,25;486,84
16;1;16;15;both ;yes;heterocapsa;23.03.21;6;200504;22887531,6;1412;6;200;0,25;114,15
17;2;16;15;both ;yes;heterosigma;23.03.21;6;49416;24057685,44;348;6;200;0,25;486,84
17;2;16;15;both ;yes;heterocapsa;23.03.21;6;241826;27604437,9;1703;6;200;0,25;114,15
18;3;16;15;both ;yes;heterosigma;23.03.21;6;43878;21361565,52;309;6;200;0,25;486,84
18;3;16;15;both ;yes;heterocapsa;23.03.21;6;249068;28431112,2;1754;6;200;0,25;114,15
19;1;16;30;heterosigma;no;heterosigma;23.03.21;6;69580;33874327,2;490;6;200;0,25;486,84
20;2;16;30;heterosigma;no;heterosigma;23.03.21;6;78526;38229597,8;553;6;200;0,25;486,84
21;3;16;30;heterosigma;no;heterosigma;23.03.21;6;73130;35602609,2;515;6;200;0,25;486,84
22;1;16;30;heterocapsa;no;heterocapsa;23.03.21;6;252192;28787716,8;444;6;400;0,0625;114,15
23;2;16;30;heterocapsa;no;heterocapsa;23.03.21;6;289680;33066972;510;6;400;0,0625;114,15
24;3;16;30;heterocapsa;no;heterocapsa;23.03.21;6;260144;29695437,6;458;6;400;0,0625;114,15
25;1;16;30;both;no;heterosigma;23.03.21;6;23146;11268398,64;163;6;200;0,25;486,84
25;1;16;30;both;no;heterocapsa;23.03.21;6;201356;22984787,4;1418;6;200;0,25;114,15
26;2;16;30;both;no;heterosigma;23.03.21;6;28542;13895387,28;201;6;200;0,25;486,84
26;2;16;30;both;no;heterocapsa;23.03.21;6;175654;20050904,1;1237;6;200;0,25;114,15
27;3;16;30;both;no;heterosigma;23.03.21;6;30672;14932356,48;216;6;200;0,25;486,84
27;3;16;30;both;no;heterocapsa;23.03.21;6;218254;24913694,1;1537;6;200;0,25;114,15
28;1;16;30;heterosigma ;yes;heterosigma;23.03.21;6;108914;53023691,8;767;6;200;0,25;486,84
29;2;16;30;heterosigma ;yes;heterosigma;23.03.21;6;110760;53922398,4;780;6;200;0,25;486,84
30;3;16;30;heterosigma ;yes;heterosigma;23.03.21;6;109908;53507610,7;774;6;200;0,25;486,84
31;1;16;30;heterocapsa  ;yes;heterocapsa;23.03.21;6;457808;52258783,2;806;6;400;0,0625;114,15
32;2;16;30;heterocapsa  ;yes;heterocapsa;23.03.21;6;612304;69894501,6;1078;6;400;0,0625;114,15
33;3;16;30;heterocapsa  ;yes;heterocapsa;23.03.21;6;599808;68468083,2;1056;6;400;0,0625;114,15
34;1;16;30;both ;yes;heterosigma;23.03.21;6;33654;16384113,36;237;6;200;0,25;486,84
34;1;16;30;both ;yes;heterocapsa;23.03.21;6;219390;25043368,5;1545;6;200;0,25;114,15
35;2;16;30;both ;yes;heterosigma;23.03.21;6;32518;15831063,12;229;6;200;0,25;486,84
35;2;16;30;both ;yes;heterocapsa;23.03.21;6;204906;23390019,9;1443;6;200;0,25;114,15
36;3;16;30;both ;yes;heterosigma;23.03.21;6;35926;17490213,84;253;6;200;0,25;486,84
36;3;16;30;both ;yes;heterocapsa;23.03.21;6;209876;23957345,4;1478;6;200;0,25;114,15